player_name,team,position,league,season,games,minutes,goals,assists,xG,xA,npg,npxG,shots,key_passes,xGChain,xGBuildup,goals_p90,assists_p90,xG_p90,xA_p90,npg_p90,npxG_p90,shots_p90,key_passes_p90,xGChain_p90,xGBuildup_p90,goal_conversion,xG_overperf,xA_overperf
Phil Foden,Manchester City,F M S,Premier League,2020,28,1606,9,5,6.08,4.75,9,6.08,45,36,13.84,5.49,0.5044,0.2802,0.3409,0.2661,0.5044,0.3409,2.5218,2.0174,0.7753,0.3075,0.2,0.1634,0.0141
Harvey Barnes,Leicester,F M S,Premier League,2020,25,1954,9,4,6.7,1.77,9,6.7,56,26,8.89,1.59,0.4145,0.1842,0.3085,0.0816,0.4145,0.3085,2.5793,1.1975,0.4096,0.0735,0.1607,0.1061,0.1026
Diogo Jota,Liverpool,F M S,Premier League,2020,19,1114,9,0,7.06,1.76,9,7.06,46,12,10.97,4.08,0.7271,0.0,0.5702,0.1424,0.7271,0.5702,3.7163,0.9695,0.8865,0.3293,0.1957,0.1569,-0.1424
Che Adams,Southampton,F S,Premier League,2020,36,2685,9,5,12.12,5.23,9,12.12,55,37,14.49,2.74,0.3017,0.1676,0.4062,0.1752,0.3017,0.4062,1.8436,1.2402,0.4856,0.092,0.1636,-0.1045,-0.0076
James Ward-Prowse,Southampton,D M,Premier League,2020,38,3420,8,7,5.44,4.07,5,2.4,43,60,10.64,9.4,0.2105,0.1842,0.1432,0.1071,0.1316,0.0631,1.1316,1.5789,0.2799,0.2474,0.186,0.0673,0.0771
Jarrod Bowen,West Ham,F M S,Premier League,2020,38,2599,8,5,7.99,5.23,8,7.99,55,29,14.17,3.1,0.277,0.1731,0.2766,0.1811,0.277,0.2766,1.9046,1.0042,0.4908,0.1072,0.1455,0.0004,-0.0079
Neal Maupay,Brighton,F M S,Premier League,2020,33,2526,8,2,13.77,4.28,5,10.73,71,32,17.16,3.38,0.285,0.0713,0.4907,0.1524,0.1781,0.3823,2.5297,1.1401,0.6113,0.1205,0.1127,-0.2057,-0.0811
Joe Willock,"Arsenal,Newcastle United",M S,Premier League,2020,21,1215,8,0,5.09,0.73,8,4.33,23,10,7.01,2.99,0.5926,0.0,0.3769,0.0543,0.5926,0.3205,1.7037,0.7407,0.519,0.2213,0.3478,0.2157,-0.0543
James Maddison,Leicester,M S,Premier League,2020,31,2123,8,5,3.83,5.39,8,3.83,75,50,11.74,6.07,0.3391,0.212,0.1623,0.2284,0.3391,0.1623,3.1795,2.1196,0.4978,0.2575,0.1067,0.1769,-0.0164
David McGoldrick,Sheffield United,F M S,Premier League,2020,35,2409,8,1,7.61,1.12,8,7.61,71,17,9.95,3.25,0.2989,0.0374,0.2842,0.0417,0.2989,0.2842,2.6526,0.6351,0.3718,0.1216,0.1127,0.0147,-0.0044
Stuart Dallas,Leeds,D M,Premier League,2020,38,3412,8,2,4.46,2.08,8,4.46,48,26,18.53,13.81,0.211,0.0528,0.1176,0.055,0.211,0.1176,1.2661,0.6858,0.4889,0.3643,0.1667,0.0935,-0.0022
Jack Harrison,Leeds,M S,Premier League,2020,36,2871,8,8,6.25,7.52,8,6.25,46,59,19.4,8.04,0.2508,0.2508,0.1961,0.2358,0.2508,0.1961,1.442,1.8495,0.6081,0.2519,0.1739,0.0547,0.015
Bertrand Traoré,Aston Villa,F M S,Premier League,2020,36,2362,7,6,6.3,4.57,7,6.3,64,35,9.84,1.33,0.2667,0.2286,0.2402,0.1742,0.2667,0.2402,2.4386,1.3336,0.3748,0.0508,0.1094,0.0265,0.0545
Jorginho,Chelsea,M S,Premier League,2020,28,2022,7,1,6.97,1.95,0,0.12,14,24,11.38,10.88,0.3116,0.0445,0.3104,0.087,0.0,0.0054,0.6231,1.0682,0.5067,0.4842,0.5,0.0012,-0.0425
Rodrigo,Leeds,F M S,Premier League,2020,26,1285,7,2,5.76,3.2,7,5.76,46,31,10.82,4.35,0.4903,0.1401,0.4031,0.2242,0.4903,0.4031,3.2218,2.1712,0.7575,0.3046,0.1522,0.0872,-0.0841
Richarlison,Everton,F M S,Premier League,2020,34,2883,7,3,10.67,3.39,6,9.91,81,25,15.86,5.17,0.2185,0.0937,0.3331,0.106,0.1873,0.3093,2.5286,0.7804,0.4953,0.1615,0.0864,-0.1146,-0.0123
